time,source,band_0,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25,band_26,band_27,band_28,band_29,band_30,band_31
46.5,processed,-80.00,-80.00,-80.00,-76.71,-65.18,-64.28,-53.45,-50.54,-65.67,-69.92,-60.79,-54.58,-65.71,-60.65,-60.91,-65.43,-60.95,-60.18,-65.29,-69.81,-79.22,-79.15,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
46.6,ref,-80.00,-80.00,-80.00,-75.55,-61.81,-60.97,-59.00,-58.94,-68.17,-69.40,-63.31,-59.58,-58.71,-52.34,-50.71,-59.62,-52.13,-50.63,-59.38,-68.86,-71.10,-73.84,-78.24,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
46.6,room,-80.00,-80.00,-79.46,-72.26,-57.86,-53.99,-52.25,-50.01,-61.05,-67.28,-66.17,-52.65,-63.29,-57.55,-54.55,-60.37,-53.13,-52.10,-60.31,-60.99,-69.64,-74.71,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
46.6,processed,-80.00,-80.00,-80.00,-76.69,-72.60,-71.53,-56.13,-52.36,-71.01,-68.44,-63.48,-56.01,-62.18,-60.07,-60.78,-63.89,-60.89,-58.97,-66.05,-70.09,-77.52,-79.46,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
46.7,ref,-80.00,-80.00,-80.00,-74.60,-69.63,-68.49,-59.74,-60.82,-59.41,-56.96,-53.31,-48.70,-55.30,-59.05,-56.25,-58.31,-46.14,-49.10,-55.18,-55.57,-64.30,-68.90,-74.21,-74.71,-74.45,-76.89,-79.13,-80.00,-80.00,-80.00,-80.00,-80.00
46.7,room,-80.00,-80.00,-80.00,-71.17,-62.54,-57.27,-51.39,-52.80,-55.50,-56.45,-54.95,-51.23,-54.77,-57.55,-54.27,-59.96,-53.97,-51.36,-60.90,-61.09,-71.31,-75.37,-79.60,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
46.7,processed,-80.00,-80.00,-80.00,-76.75,-71.44,-68.32,-58.32,-58.92,-65.85,-67.02,-60.31,-53.87,-61.83,-63.90,-61.75,-65.32,-58.61,-59.47,-64.45,-67.04,-75.98,-79.12,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
46.8,ref,-80.00,-80.00,-79.21,-80.00,-60.04,-58.06,-65.61,-65.33,-70.97,-64.66,-63.92,-64.11,-62.92,-59.62,-50.14,-60.36,-56.65,-56.69,-66.79,-69.15,-72.38,-73.07,-75.20,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
46.8,room,-77.47,-76.92,-75.12,-67.59,-54.23,-50.39,-52.65,-52.09,-59.85,-62.15,-59.29,-55.07,-60.29,-59.48,-50.69,-62.07,-55.96,-55.23,-64.02,-67.04,-73.11,-75.80,-77.56,-79.03,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
46.8,processed,-80.00,-80.00,-80.00,-77.00,-57.74,-56.68,-53.48,-51.36,-63.78,-67.06,-64.39,-55.54,-63.62,-60.12,-61.98,-62.56,-59.82,-59.37,-66.93,-69.77,-77.86,-79.60,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
46.9,ref,-80.00,-80.00,-77.73,-63.04,-66.64,-74.23,-67.68,-64.71,-69.75,-69.90,-70.61,-65.45,-66.70,-63.27,-53.07,-62.73,-61.49,-55.02,-71.35,-66.99,-71.61,-74.14,-76.31,-78.20,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
