time,ref,room,processed
47.005488,0.052246,0.043732,0.017812
47.005510,0.049591,0.043762,0.022321
47.005533,0.047607,0.041138,0.024980
47.005556,0.043518,0.035706,0.024668
47.005578,0.038452,0.029633,0.021750
47.005601,0.032898,0.024200,0.018113
47.005624,0.026703,0.019165,0.015132
47.005646,0.021301,0.013092,0.013661
47.005669,0.017822,0.005096,0.012677
47.005692,0.014709,-0.005798,0.010437
47.005714,0.011871,-0.015808,0.007398
47.005737,0.010162,-0.022400,0.005725
47.005760,0.009583,-0.026489,0.004546
47.005782,0.009308,-0.032166,0.001368
47.005805,0.008911,-0.040955,-0.003855
47.005828,0.007965,-0.049408,-0.008951
47.005850,0.005920,-0.052216,-0.012027
47.005873,0.003601,-0.051788,-0.013089
47.005896,0.004059,-0.056183,-0.013998
47.005918,0.008606,-0.066650,-0.015260
47.005941,0.014221,-0.076508,-0.016294
47.005964,0.018585,-0.081787,-0.019107
47.005986,0.021667,-0.085693,-0.023654
47.006009,0.024109,-0.093781,-0.026728
47.006032,0.024963,-0.105621,-0.027570
47.006054,0.024048,-0.113525,-0.028544
47.006077,0.021454,-0.114349,-0.029790
47.006100,0.020721,-0.112091,-0.031672
47.006122,0.023926,-0.110901,-0.033502
47.006145,0.030823,-0.109955,-0.036020
47.006168,0.037842,-0.107941,-0.039983
47.006190,0.041168,-0.102783,-0.042553
47.006213,0.042053,-0.092499,-0.042154
47.006236,0.044769,-0.077362,-0.042488
47.006259,0.049408,-0.059784,-0.045300
47.006281,0.050262,-0.042847,-0.047667
47.006304,0.045959,-0.028046,-0.048802
47.006327,0.038788,-0.014252,-0.048955
47.006349,0.030304,-0.001282,-0.050163
47.006372,0.021332,0.009827,-0.053655
47.006395,0.013336,0.019073,-0.055252
47.006417,0.008759,0.029266,-0.052997
47.006440,0.006836,0.040253,-0.050165
47.006463,0.005829,0.048645,-0.049145
47.006485,0.005096,0.054077,-0.049728
47.006508,0.004120,0.059723,-0.050073
47.006531,0.002563,0.068451,-0.047453
47.006553,0.001740,0.078430,-0.042878
47.006576,0.001587,0.086060,-0.039232
47.006599,0.000793,0.088501,-0.035991
47.006621,-0.002777,0.087830,-0.032239
47.006644,-0.009460,0.085754,-0.029400
47.006667,-0.016968,0.083801,-0.026975
47.006689,-0.021576,0.082611,-0.023946
47.006712,-0.021454,0.082916,-0.020362
47.006735,-0.017792,0.082764,-0.016506
47.006757,-0.013550,0.083008,-0.013173
47.006780,-0.011414,0.085114,-0.009728
47.006803,-0.011261,0.088165,-0.005048
47.006825,-0.012390,0.090363,-0.000338
47.006848,-0.013947,0.091034,0.002321
47.006871,-0.014679,0.090210,0.003245
47.006893,-0.014923,0.089569,0.003988
47.006916,-0.017242,0.088165,0.005094
47.006939,-0.020691,0.083344,0.004711
47.006961,-0.021759,0.076874,0.002749
47.006984,-0.021057,0.070526,0.001858
47.007007,-0.019592,0.063141,0.000780
47.007029,-0.016113,0.054535,-0.003047
47.007052,-0.009552,0.047974,-0.009111
47.007075,-0.000977,0.044861,-0.015487
47.007098,0.008606,0.043915,-0.020838
47.007120,0.017670,0.040710,-0.025283
47.007143,0.027588,0.033112,-0.031451
47.007166,0.037231,0.023804,-0.036692
47.007188,0.044312,0.015717,-0.038278
47.007211,0.046265,0.006012,-0.038271
47.007234,0.046326,-0.006104,-0.039536
47.007256,0.045563,-0.018677,-0.040046
47.007279,0.043243,-0.029755,-0.039877
47.007302,0.038635,-0.040253,-0.038819
47.007324,0.033539,-0.049500,-0.035973
47.007347,0.027161,-0.056396,-0.031498
47.007370,0.019806,-0.059174,-0.027383
47.007392,0.013092,-0.058655,-0.025245
47.007415,0.009888,-0.058868,-0.026169
47.007438,0.012878,-0.060913,-0.027836
47.007460,0.020874,-0.062164,-0.027559
47.007483,0.027283,-0.061829,-0.025623
47.007506,0.028015,-0.062195,-0.023012
47.007528,0.026001,-0.063812,-0.020117
47.007551,0.024658,-0.066254,-0.017189
47.007574,0.024933,-0.068268,-0.014624
47.007596,0.026550,-0.069061,-0.012013
47.007619,0.028656,-0.068420,-0.008101
47.007642,0.029388,-0.066559,-0.002798
47.007664,0.027618,-0.062012,0.002076
47.007687,0.023621,-0.055817,0.006567
47.007710,0.018982,-0.050354,0.011290
47.007732,0.014313,-0.044586,0.015714
47.007755,0.007812,-0.036957,0.020127
47.007778,0.000031,-0.030273,0.023744
47.007800,-0.007080,-0.026764,0.026698
47.007823,-0.014557,-0.027618,0.031362
47.007846,-0.021484,-0.029602,0.035876
47.007868,-0.025665,-0.027924,0.037082
47.007891,-0.025574,-0.025299,0.035255
47.007914,-0.021576,-0.029236,0.031937
47.007937,-0.015930,-0.040009,0.028132
47.007959,-0.013000,-0.051086,0.025274
47.007982,-0.014282,-0.058258,0.022551
